city,gcode,lat,long
MAROMME CANTELEU,"Canteleu, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76380, France",49.419738100000004,1.0019249002465715
ROUEN,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France",49.4404591,1.0939658
ROUEN,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France",49.4404591,1.0939658
"20 Rue Edouard Pailleron, 75019 Paris","20, Rue Édouard Pailleron, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.8804479,2.3766239
HEROUVILLE,"Hérouville-en-Vexin, Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, 95300, France",49.0998904,2.1280641
 92100 Boulogne-Billancourt,"Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92100, France",48.8356649,2.240206
FONTENAYS,"Les Fontenays, Bellenaves, Vichy, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03330, France",46.2096584,3.0698908
cormeilles en parisis,"Cormeilles-en-Parisis, Argenteuil, Val-d'Oise, Île-de-France, France métropolitaine, 95240, France",48.9759637,2.1998877
ST-JEAN DE BRAYE,"Saint-Jean-de-Braye, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45800, France",47.9200018,1.9737186
CAEN,"Caen, Calvados, Normandie, France métropolitaine, 14000, France",49.1813403,-0.3635615
WISSOUS,"Wissous, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91320, France",48.7316381,2.3268669
CHATEAUDUN,"Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28200, France",48.0702298,1.3284948
LAVAL,"Laval, Mayenne, Pays de la Loire, France métropolitaine, 53000, France",48.0706687,-0.7734022
"9 Rue Alphonse Baudin, 75011 Paris","9, Rue Alphonse Baudin, Quartier Saint-Ambroise, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France",48.8605533,2.3704298
RENNES,"Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, France",48.1113387,-1.6800198
PARIS,"Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915
CESSON SEVIGNE,"Cesson-Sévigné, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35510, France",48.1197799,-1.6038829
PIPRIAC,"Pipriac, Redon, Ille-et-Vilaine, Bretagne, France métropolitaine, 35550, France",47.8088832,-1.9462224
SAINT-CLOUD PARIS,"Porte de Saint-Cloud, Place de la Porte de Saint-Cloud, Quartier d'Auteuil, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75016, France",48.8377707,2.2565741
SAINT-BRIEUC,"Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22000, France",48.5141134,-2.7603283
CLAMART,"Clamart, Antony, Hauts-de-Seine, Île-de-France, France métropolitaine, 92140, France",48.800368,2.2630292
MARPIRE CHAMPEAUX,"Les Landes de Marpiré, Marpiré, Fougères-Vitré, Ille-et-Vilaine, Bretagne, France métropolitaine, 35220, France",48.1324151,-1.3327175
BEAUNE,"Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21200, France",47.0239064,4.8380426
ORGERBLON,"Orgerblon, Avenue Orgerblon, Les Communs, Orgères, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35230, France",48.0149251,-1.6638772
